Team,Conf,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Offensive Average Possession Length (seconds),Offensive Average Possession Length Rank,Defensive Average Possession Length (seconds),Defensive Average Possession Length Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Adjusted Offensive Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
San Diego,WCC,70.2,84,72.2,51,16.9,134,16.1,14,97.4,259,91,331,100.7,137,105.7,274
Utah Valley,WAC,70.2,85,71.3,83,17,139,16.7,61,100.5,207,101.1,175,104.3,215,103.6,233
Cal St. Northridge,BW,70.1,86,70.4,111,16.3,60,17.7,264,101.7,186,100.1,191,110.4,320,109.7,319
Lehigh,Pat,70,87,71.3,86,17.2,164,16.6,48,91.6,326,95,288,109,303,106.8,285
Minnesota,B10,69.9,88,70.7,101,16.7,109,17,110,108.4,76,101,179,95.4,56,102.6,211
VMI,SC,69.9,89,71.6,74,16.5,83,17,105,107.8,88,107,59,106.7,269,106.9,286
Florida St. 4,ACC,69.9,90,69.9,142,16.2,56,18,305,114.9,16,109.7,28,92.8,33,98.1,80
Iowa St.,B12,69.9,91,70.5,108,16.9,135,17,115,100.3,213,93,313,100.4,135,108.5,308
Southern Utah,BSky,69.9,92,71,95,17,138,16.9,96,108.5,74,111.7,15,105.4,240,102.3,199
Iowa 2,B10,69.9,93,70.8,98,16.2,50,17.6,233,123.5,3,117.7,3,96.7,75,102.4,205
Grambling St.,SWAC,69.8,94,71.7,71,16.5,81,16.9,99,92.1,324,93.3,309,106.3,264,96.2,53
Nevada,MWC,69.8,95,70.1,129,16.6,104,17.4,199,108.8,72,104.7,95,99.9,125,99.8,125
Bowling Green,MAC,69.8,96,71.8,69,16.1,45,17.1,141,105.5,116,106.1,76,101.9,168,103.2,222
Milwaukee,Horz,69.8,97,71,94,16.4,66,17.2,150,101.8,180,103.9,112,106.9,271,105.1,263
Kent St.,MAC,69.8,98,70.7,102,17.4,189,16.6,54,105.8,113,106.9,61,99.5,121,101.7,178
UC San Diego,BW,69.7,99,69.2,172,17,142,17.6,245,101.7,182,97.8,240,108,289,110,326
Brown,Ivy,69.7,100,0,348,0,1,0,1,95.2,288,0,348,102.9,189,200,348
Georgetown 12,BE,69.7,101,70.3,119,16.8,121,17,119,107.9,87,101.2,173,95,49,101.6,174
Stephen F. Austin,Slnd,69.7,102,71.9,59,16.6,93,16.5,34,103.5,152,107,60,102.2,174,97.3,65
UT Rio Grande Valley,WAC,69.6,103,71.8,70,14.8,7,18.4,339,91.8,325,91.4,326,102.8,187,98,77
Oakland,Horz,69.6,104,70.7,103,17.4,191,16.6,43,103.9,140,102.8,142,109.2,306,111.4,333
Texas A&M Corpus Chris,Slnd,69.6,105,70.9,97,17,143,16.7,72,89.4,347,89.5,337,108.8,300,104.6,251
Charleston Southern,BSth,69.6,106,70.2,123,16.8,128,17.3,173,89.8,344,91,329,108.3,292,105.7,273
VCU 10,A10,69.6,107,70.3,117,16,37,18,300,105.2,122,101.5,163,90.2,14,92.1,10
Albany,AE,69.6,108,69.7,148,17.1,156,17.7,266,97.3,263,99.4,207,104.2,211,98.8,97
Purdue Fort Wayne,Horz,69.5,109,69.6,152,16.7,106,17.8,270,100.3,214,103.9,111,111.2,329,109.6,318
Howard,MEAC,69.5,110,73.1,31,16.1,40,16.5,41,98.2,247,99.7,197,112.2,337,116.8,344
Alcorn St.,SWAC,69.5,111,71.1,90,17.2,167,16.4,31,91.1,333,93.4,307,110.2,317,105.7,276
Louisiana Tech,CUSA,69.4,112,70.5,109,16.8,119,17.2,153,104.2,133,102.5,147,93.7,39,93,14
Kennesaw St.,ASun,69.3,113,69.3,169,18.1,258,16.6,51,87.8,350,89.6,335,105.4,238,105.4,268
Rice,CUSA,69.3,114,70.6,106,17.1,152,16.7,68,103.9,141,101.4,169,106.2,261,104.8,254
Abilene Christian 14,Slnd,69.3,115,71,96,16.9,129,16.7,71,101.7,184,104.2,106,91.6,26,87,1
Portland St.,BSky,69.2,116,69.7,150,17.1,159,17,109,93.1,314,94.3,296,100.3,132,96.1,50
Middle Tennessee,CUSA,69.2,117,69.7,149,17.6,210,16.7,67,91.2,332,88.6,339,103.9,207,102.6,210
UT Arlington,SB,69.2,118,70.3,118,16.8,113,17.3,163,98.2,246,98.4,227,106.1,260,102,186
UC Davis,BW,69.2,119,70.3,114,17.1,147,16.9,101,98,253,98.1,230,102.3,181,100.2,134
Stanford,P12,69.2,120,69.8,144,16.8,117,17.7,253,106,110,98.4,226,92.2,28,98.6,93
Prairie View A&M,SWAC,69.2,121,70.7,104,16.7,107,16.9,102,94.6,299,101,181,101.2,152,91,9
West Virginia 3,B12,69.2,122,70.4,113,17.4,179,16.8,74,116.8,12,108.6,40,96.3,70,100.9,151
Ohio 13,MAC,69.2,123,71.3,87,17.1,148,16.6,47,111.4,40,110.5,22,100.9,145,102.2,193
Penn,Ivy,69.2,124,0,348,0,1,0,1,100.2,216,0,348,105.3,236,200,348
Penn St.,B10,69.1,125,69.7,151,16.6,92,18,310,112.2,34,103.1,132,95.2,52,103.5,232
Holy Cross,Pat,69.1,126,69.8,143,17.5,200,16.8,75,97.2,265,100.7,183,109.8,314,108.3,306
Missouri St.,MVC,69.1,127,68.2,213,17.5,198,17.6,243,107.8,90,106.2,74,98.5,104,98.9,103
Boise St.,MWC,69.1,128,69.9,138,16.5,70,17.6,240,109.1,69,107.5,54,96,64,96.1,51
Wyoming,MWC,69,129,70,134,17.4,188,16.8,79,109.1,68,108.1,45,109,301,107.3,293
UNC Wilmington,CAA,69,130,70,131,16.6,94,17.7,265,102.1,173,104.9,92,109.5,309,105.1,261
UMass Lowell,AE,69,131,69.3,171,17.3,176,17.4,200,99.8,223,99.1,211,106.1,259,102.4,204
Illinois St.,MVC,69,132,68.7,189,16.6,87,18.3,333,98.7,240,96.8,259,102.3,180,105.2,266
Colorado St.,MWC,69,133,69.4,167,17,137,17.4,204,108.1,83,105.8,83,96.6,72,95.7,45
Rhode Island,A10,69,134,70.2,122,16.9,132,17.2,149,104.7,127,99.6,204,97.5,89,99.3,108
Duquesne,A10,69,135,68.4,203,17.5,195,17.6,249,101.7,183,97.7,242,97,80,98,79
South Dakota,Sum,68.9,136,70.1,127,17.4,180,16.9,93,107.3,97,107.9,50,106.6,267,104.8,255
Columbia,Ivy,68.9,137,0,348,0,1,0,1,94.7,298,0,348,105.9,255,200,348
Eastern Illinois,OVC,68.9,138,70.1,128,17.1,149,17,116,95.5,286,97.4,248,108.7,298,105.3,267
Northern Iowa,MVC,68.8,139,68.3,206,17.5,197,17.6,236,103.3,155,98.7,219,103,190,105,258
Seattle,WAC,68.8,140,70.4,112,17.3,171,17,108,98.6,241,99,214,103.5,197,101.5,170
SMU,Amer,68.8,141,70.8,100,16.1,48,17.6,241,110.8,47,105.2,90,96.8,76,96.6,59
Tennessee Tech,OVC,68.8,142,70.2,125,17,144,17.1,129,96,281,94.5,292,109.9,316,109,314
Toledo,MAC,68.7,143,70.2,120,16.7,111,17.2,144,114.3,19,114.1,6,102.6,182,102,187
Creighton 5,BE,68.7,144,69.5,157,16.1,44,18.2,324,113.4,25,108.4,43,92.8,32,97.5,69
Lafayette,Pat,68.6,145,70.2,124,16.9,133,17.3,169,102.9,163,107.3,55,112,335,105.9,279
Texas 3,B12,68.6,146,69.4,165,16.4,64,18.1,318,113.1,28,105.9,81,92.8,31,97.3,64
Vanderbilt,SEC,68.6,147,69.6,153,18.2,267,16,12,108.9,71,103,137,100.6,136,103.7,236
Temple,Amer,68.6,148,68.3,208,17.4,185,17.7,259,101.5,189,96.4,268,98.8,110,100.7,146
Utah St. 11,MWC,68.6,149,69.4,166,17,145,17.5,229,104.8,126,103.6,120,89.5,8,89.7,5
Southeastern Louisiana,Slnd,68.6,150,71.6,76,17.3,177,16.3,24,92.9,318,94.1,299,110.8,325,107.1,290
Syracuse 11,ACC,68.6,151,69.1,178,16.4,61,18,302,113.7,24,107.8,51,96.9,77,101.2,156
Duke,ACC,68.5,152,69.1,177,17.2,169,17.3,165,114.5,18,109.6,29,97,79,101.8,184
Akron,MAC,68.5,153,69.9,140,16.9,130,17.4,209,108.6,73,108.6,41,101.5,159,103,221
St. Francis PA,NEC,68.5,154,69.7,146,17.2,162,17.1,122,94.7,296,97.5,245,108,287,104.4,248
La Salle,A10,68.5,155,69.5,163,17.1,158,17.2,154,101.8,181,96.8,261,105.6,245,106.2,282
McNeese St.,Slnd,68.5,156,71.4,82,17.2,161,16.2,18,95.7,283,99.7,200,114.5,353,109.3,317
Army,Pat,68.4,157,69.9,139,16.6,102,17.3,176,98.1,250,100.6,184,101.6,161,101.2,157
Southeast Missouri St.,OVC,68.4,158,68.9,185,17.2,168,17.3,167,95.5,287,97.5,247,105.5,242,101.4,164
Jackson St.,SWAC,68.4,159,70.3,116,16.8,120,17.2,145,88.1,349,91.8,322,97.7,92,87.9,3
Northwestern,B10,68.4,160,69.3,168,16.4,65,18.1,315,104.3,132,98,235,93.4,37,101.7,179
Florida A&M,MEAC,68.4,161,70.8,99,16.5,77,17.1,130,90.2,341,92.9,316,100.9,144,96.6,58
Loyola MD,Pat,68.4,162,68.6,197,17.9,244,17.1,127,96.8,272,101.3,171,101.8,165,99.5,119
Missouri 9,SEC,68.4,163,70.3,115,16.8,122,17.1,120,110.6,49,103.2,129,95.5,57,101.4,165
Michigan St. 11,B10,68.3,164,68.9,181,17.3,174,17.4,216,107.1,98,99.9,196,94.2,45,102.9,218
Pittsburgh,ACC,68.3,165,68.5,199,17.5,205,17.4,190,108.2,81,104,109,99.5,122,103,220
USC Upstate,BSth,68.3,166,68.7,191,17.9,242,17,112,94.8,293,95.6,277,109.5,312,107.4,295
Florida 7,SEC,68.3,167,70.5,110,16.6,88,17.4,206,111,44,104.7,97,94.1,41,99.4,114
Montana St.,BSky,68.2,168,69.1,175,17.1,150,17.8,272,99.4,230,101.1,176,103.6,198,102.3,201
Richmond,A10,68.2,169,69.5,156,16.6,103,17.8,276,110.9,46,106.6,68,98.1,99,100.8,150
UNC Asheville,BSth,68.2,170,69.9,141,17,136,17.1,136,100.6,204,102.9,140,107.8,283,102.5,207
NJIT,AE,68.2,171,68.1,214,17.5,196,17.8,282,94.2,303,95.6,279,106.2,263,101.4,166
SIU Edwardsville,OVC,68.2,172,69.5,162,17.9,247,16.6,45,92.6,319,93.9,302,107.4,279,106.8,284
Troy,SB,68.2,173,69.5,158,17.7,223,16.8,77,92.4,322,91,330,105,228,102.8,215
Kansas 3,B12,68.2,174,69.5,160,16.5,74,18,312,110.1,54,103.9,113,90.2,12,96.5,55
Illinois Chicago,Horz,68.2,175,69.5,159,17.1,153,17.4,181,93.1,315,96.3,271,104.5,221,102.8,214
George Mason,A10,68.1,176,69.2,173,16.8,124,17.8,278,101.1,195,100.4,188,98.4,102,98.8,102
Florida Atlantic,CUSA,68.1,177,69.1,179,16.7,110,17.8,269,101.9,174,103.2,131,103.1,192,99.7,123
Eastern Michigan,MAC,68.1,178,69.9,137,17.8,231,16.4,30,97.1,268,96.6,266,108.5,296,114.7,343
Hofstra,CAA,68.1,179,68.9,184,16.8,123,18,303,105.9,112,105.8,82,108.4,295,105.4,269
Harvard,Ivy,68.1,180,0,348,0,1,0,1,101.9,177,0,348,103.2,194,200,348
Kentucky,SEC,68.1,181,70,132,17.1,151,17.2,147,108,84,99.7,198,93.1,35,99.4,113
William & Mary,CAA,68.1,182,67.2,265,17.9,241,17.5,221,94.8,291,95.1,287,107.3,278,106.9,287
UNC Greensboro 13,SC,68,183,70.2,121,16.6,91,17.4,215,103.6,146,103.6,119,95.8,62,95.5,42
Saint Louis,A10,68,184,68.6,195,16.8,127,17.9,292,110.4,50,109.3,33,96,65,95.2,38
Yale,Ivy,67.9,185,0,348,0,1,0,1,107.1,99,0,348,102.1,172,200,348
Xavier,BE,67.9,186,69.6,154,16.8,118,17.6,246,110.6,48,106.4,73,97.9,94,99.8,127
East Carolina,Amer,67.9,187,68.7,190,17.3,175,17.4,213,99.3,232,94.6,289,98.6,107,98.6,91
George Washington,A10,67.8,188,68.9,182,17.8,233,17.1,138,101.6,187,97.9,238,107.8,285,104.6,252
Northern Colorado,BSky,67.8,189,68.5,198,18.1,262,17.2,157,99,238,98.6,220,105.1,231,102,185
Miami FL,ACC,67.8,190,68.1,221,18.3,279,16.8,88,102.1,172,97.1,255,99.1,116,104,241
UTEP,CUSA,67.8,191,68.1,220,17.5,206,17.7,263,103.3,156,100,194,100.2,131,100.4,138
Maryland Eastern Shore,MEAC,67.8,192,0,348,0,1,0,1,83.9,356,0,348,111.5,333,200,348
N.C. State,ACC,67.8,193,68.1,215,17,141,18.2,325,109.4,63,106.5,71,97.4,87,102.1,192
Stetson,ASun,67.8,194,67.8,234,18.5,299,16.7,70,100.3,212,101.3,170,106.8,270,105.2,265
New Mexico,MWC,67.7,195,68.4,204,18,249,17.1,125,91.6,327,89.9,333,103.5,196,105.2,264
Mercer,SC,67.7,196,69.5,161,17.4,187,17,113,106.2,108,106.6,69,102.8,186,102.9,216
San Francisco,WCC,67.7,197,69.5,155,17.7,220,16.8,82,106.9,100,102.8,141,98,96,100.1,132
Arizona,P12,67.7,198,68.3,209,16.8,126,18.3,335,115.6,15,109.6,31,95.7,59,99.8,126
Iona 15,MAAC,67.7,199,69.7,147,17.6,213,17,117,100.2,217,102,153,101,146,94.6,31
Furman,SC,67.7,200,70,135,16.6,86,17.4,212,109.8,57,111.1,20,101.1,151,100.5,140
Arkansas St.,SB,67.6,201,69.2,174,17.7,222,16.9,92,99.2,233,99.7,201,107,276,102.5,209
Youngstown St.,Horz,67.6,202,68.3,205,17.6,217,17.4,196,102.2,171,106.1,78,109.5,310,108.6,309
Utah,P12,67.6,203,67.7,243,17.7,221,17.7,252,112.7,31,105.4,88,97,78,102.3,198
Jacksonville,ASun,67.6,204,68.3,207,16.8,115,17.9,293,93.7,307,95.5,280,105.5,241,101.8,183
Rider,MAAC,67.6,205,68.7,193,17.6,209,17.6,232,99.5,229,98,234,113.7,350,107.3,292
BYU 6,WCC,67.6,206,70,133,17.1,157,17,111,113.7,23,108.7,39,92.5,30,97.3,66
Washington St.,P12,67.6,207,68.6,194,18.2,266,16.7,65,102.4,167,97.5,246,91.3,24,96,49
UMBC,AE,67.5,208,68.7,188,16.6,85,18.1,319,100.6,203,101.5,164,100.8,139,94.7,32
Alabama A&M,SWAC,67.5,209,70,136,17.7,225,16.5,37,84.8,354,88.2,341,105.8,250,94.4,26
Lamar,Slnd,67.5,210,69.8,145,17.4,184,16.7,59,93.1,316,93.7,305,105.9,254,102.3,200
Norfolk St. 16,MEAC,67.5,211,71.8,65,17.6,211,16.2,23,99.1,234,101.8,159,103.6,199,98.3,86
Chicago St.,WAC,67.5,212,71.2,89,17.8,235,15.9,6,88.3,348,78,346,118.1,356,123.8,347
Baylor 1,B12,67.4,213,69.3,170,17,140,17.6,231,125,2,119.1,2,91.1,22,94.5,29
Rutgers 10,B10,67.4,214,68.1,216,17.2,166,17.9,290,108.1,82,101,180,90.6,16,98.8,100
American,Pat,67.4,215,67.7,236,18.2,275,17.1,124,96.5,277,97.3,251,106.2,262,104,242
Marquette,BE,67.4,216,68.4,202,18.3,278,16.7,69,107.5,94,101.6,162,97.1,83,102.2,197
Old Dominion,CUSA,67.4,217,68.2,212,17.8,238,17.4,203,101,196,99.1,213,99.9,126,99.2,107
Southern Miss,CUSA,67.4,218,68.2,211,17.5,208,17.3,178,92.9,317,91.9,321,101.1,149,99.4,116
Western Kentucky,CUSA,67.4,219,69.1,176,17.6,216,16.9,89,106.6,102,104.1,108,98,97,97.7,74
Tennessee Martin,OVC,67.4,220,68.4,201,18,252,16.8,87,92.3,323,92.9,314,113.3,346,112.1,334
Tulane,Amer,67.4,221,67.8,233,17.4,181,18.1,316,99.8,225,94.4,295,97.8,93,98.3,87
UC Irvine,BW,67.4,222,68.1,219,18.1,257,17.1,133,101.3,192,99.7,202,93.4,38,93.2,16
Georgia Tech 9,ACC,67.3,223,67.7,242,17.7,229,17.6,235,113.7,22,107.9,49,96.2,68,100.8,148
Robert Morris,Horz,67.3,224,68.4,200,17.2,163,17.7,261,98.1,249,101.5,166,110.6,323,112.7,338
UCF,Amer,67.2,225,68,229,17.8,234,17.4,197,106.5,103,98.5,221,97.9,95,101.5,168
Oregon 7,P12,67.2,226,68.1,223,17.4,182,17.8,280,117.2,10,110.1,24,95.4,55,101,152
Notre Dame,ACC,67.2,227,67.4,257,17.4,193,18.1,317,113.8,21,108,48,103.7,203,110.4,327
Oklahoma 8,B12,67.1,228,69.1,180,17.4,186,17.4,182,112.1,35,106.1,79,95.1,51,99.7,124
North Dakota,Sum,67.1,229,68.9,183,17.5,199,17.3,164,97.7,254,98,236,108.1,291,108.1,303
Detroit,Horz,67.1,230,68.1,218,18,250,17.2,156,109.3,65,112.3,13,108.8,299,107.9,301
Louisiana Monroe,SB,67.1,231,67.6,247,17.4,192,17.9,295,93.2,313,94.2,298,105.4,239,101.2,160
Tennessee 5,SEC,67.1,232,68.7,186,17.2,165,17.4,201,108,85,104.4,101,88.1,5,92.2,11
Manhattan,MAAC,67.1,233,67.5,253,17.5,202,18,313,89.5,346,91.1,328,103.7,202,96.5,56
Wichita St. 11,Amer,67,234,67.6,244,17.6,214,17.8,279,109.5,61,103.4,125,97.2,84,99.9,128
USC 6,P12,67,235,67.6,246,17.4,190,18.3,331,115.7,14,109,35,88.1,6,94.9,34
Northeastern,CAA,67,236,68.3,210,18.2,272,16.8,76,98.5,242,97.9,239,98.6,108,99.3,109
Pacific,WCC,67,237,68.7,192,18.2,274,17.1,135,103.5,150,97.9,237,98.1,98,101.3,162
UAB,CUSA,67,238,67.8,231,17.3,173,17.9,296,103.5,153,103.7,117,95,50,90.1,7
