Team,Conf,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Offensive Average Possession Length (seconds),Offensive Average Possession Length Rank,Defensive Average Possession Length (seconds),Defensive Average Possession Length Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Adjusted Offensive Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Southern,SWAC,69.9,47,71.4,38,17,93,16.6,18,96.7,290,97.7,267,100.3,125,95.3,34
Pepperdine,WCC,69.9,48,71.3,40,15.9,25,17.6,176,97.4,276,93.6,330,107.1,261,108.1,307
Memphis 9,Amer,69.9,49,71,50,16.6,56,17.1,87,111.2,38,105.9,92,94,33,96.6,53
Nebraska Omaha,Sum,69.9,50,71.3,43,16.6,52,17.1,71,97.8,271,97.9,265,116.4,353,118.7,358
Nicholls St.,Slnd,69.8,51,72.1,27,15.6,16,17.5,155,100.8,216,104,130,103.6,197,100.9,154
Eastern Washington,BSky,69.7,52,70.6,59,16.4,40,17.7,194,104.1,156,105.8,95,107.9,278,105.8,268
Iowa 5,B10,69.7,53,70.3,72,15.8,22,18.2,318,120.5,4,117.4,4,97.8,80,100.9,156
Fairleigh Dickinson,NEC,69.6,54,70.4,68,16.7,60,17.3,124,94.8,317,94.5,315,114.5,350,111.3,341
McNeese St.,Slnd,69.6,55,72.7,18,16.5,49,16.6,15,97.7,273,98,259,110.7,319,107,282
Louisiana,SB,69.6,56,70.1,79,17.2,127,17,58,101.5,200,99.5,228,102.6,169,99.3,107
Northern Colorado,BSky,69.6,57,70.5,65,16.7,64,17.3,113,107.7,84,108.7,39,111.5,329,109.8,326
Columbia,Ivy,69.5,58,70.7,55,16.8,74,16.9,44,93.2,334,93.8,327,114.2,348,112,345
Washington,P12,69.5,59,70.5,63,16.5,51,17.7,199,104.1,158,99.4,232,98.9,103,101.7,172
Weber St.,BSky,69.5,60,70.6,58,15.8,21,18.1,304,103.3,170,106.1,84,103.8,204,101,157
South Dakota St. 13,Sum,69.4,61,71.4,39,15.6,12,18.1,292,115.4,14,118.4,1,104.8,217,103.6,227
Alabama St.,SWAC,69.4,62,71.2,45,16.7,62,17.1,68,97.1,283,96.2,290,110.3,308,105.5,264
Texas A&M Corpus Chris 16,Slnd,69.4,63,71.9,30,15.9,29,17.2,94,96.6,291,102,178,103.2,185,98.6,94
Tennessee Tech,OVC,69.3,64,69.9,84,16.4,44,17.9,255,99.9,241,99.3,233,107.8,276,105.4,261
Kansas 1,B12,69.3,65,69.5,94,16.4,43,18,280,119.2,6,111.4,21,91.7,17,96.2,43
Grambling St.,SWAC,69.3,66,70.5,61,16.6,53,17.3,107,93.7,331,92.3,339,106,245,102.5,202
Illinois Chicago,Horz,69.2,67,69,121,17.3,140,17.6,188,99.4,246,102,176,109.9,303,105.7,267
Eastern Michigan,MAC,69.2,68,70.5,60,17.1,117,16.6,20,93.7,330,94.9,308,107.4,265,106.3,272
Indiana St.,MVC,69.2,69,69.2,109,17.1,102,17.6,178,98.3,264,96.5,285,103,181,104.2,239
Lipscomb,ASun,69.2,70,70.5,62,16.7,61,17.4,126,102.3,192,102,177,110.3,311,109,318
Iona,MAAC,69.2,71,70.2,76,16.4,42,17.9,249,108,80,106.4,77,99,105,97,60
Stephen F. Austin,WAC,69.1,72,70.7,54,17,100,16.8,31,102.3,191,102.2,171,98.4,90,96.9,56
Hampton,BSth,69.1,73,69,120,17.3,145,17.9,252,90.6,350,90.5,349,105.6,237,101.5,167
Portland,WCC,69.1,74,71.1,48,17.1,112,16.8,37,102.7,182,101.7,184,103.6,196,102.4,195
Samford,SC,69.1,75,69.3,102,16.9,80,17.9,266,105,136,105.1,107,106.1,247,106.8,279
Massachusetts,A10,69.1,76,69.2,107,17,92,17.7,211,111.8,33,108,46,113,342,111.8,343
Hofstra,CAA,69,77,70.1,78,16.9,83,17.4,125,108.8,72,108.8,34,104.9,218,105.3,259
VMI,SC,68.9,78,69.2,111,16.7,68,17.8,239,110.3,45,110,27,110.5,316,110.6,331
UAB 12,CUSA,68.9,79,70,82,16.4,41,17.8,217,112.4,27,111.6,19,98.8,99,96.3,47
Belmont,OVC,68.9,80,69.9,83,15.9,30,18.2,308,108.5,76,109.1,32,99,104,96.5,51
Charleston Southern,BSth,68.9,81,69.8,86,17.1,105,17.2,100,92.3,340,91.5,345,112.2,338,110,328
San Francisco 10,WCC,68.9,82,70.7,57,17.3,147,16.6,22,110.5,44,107.3,56,93.1,26,95,30
George Washington,A10,68.9,83,69.7,92,17.3,139,17.2,105,99.3,248,96.9,281,103.8,203,103.4,222
Tennessee Martin,OVC,68.9,84,70.2,74,17.1,115,17,62,96,303,95.1,305,108.7,282,106.6,275
Wright St. 16,Horz,68.9,85,69.7,88,16.7,63,17.6,187,106.3,110,108.7,37,106.6,253,103.6,225
Toledo,MAC,68.8,86,70.1,81,16.6,57,17.6,181,110.2,48,112.8,13,102.1,160,99.5,114
James Madison,CAA,68.8,87,69.5,95,16.2,35,18.3,325,102.6,185,102.2,173,107.3,264,106.6,274
Yale 14,Ivy,68.8,88,70.2,75,17.6,187,16.4,9,100.7,218,101.1,200,98.8,98,99.1,99
Army,Pat,68.8,89,69.2,106,15.9,26,18.6,347,96.5,295,98.9,245,107.6,272,102.8,207
Quinnipiac,MAAC,68.8,90,69,119,16.9,90,17.8,228,102.9,176,102.4,169,107.9,277,104.1,237
DePaul,BE,68.8,91,70.4,70,16.9,81,17.1,89,106.9,97,103,156,100.2,122,102.5,200
Houston Baptist,Slnd,68.8,92,70.9,51,18,243,15.8,3,95.2,311,97.9,262,112.3,339,109.6,324
William & Mary,CAA,68.8,93,69.5,96,17.4,157,17,64,90.2,352,89.5,351,107.5,270,107.2,285
UTSA,CUSA,68.7,94,69,118,17.7,191,17,63,94.3,324,93.5,332,107.5,271,106.6,276
VCU,A10,68.6,95,68.6,145,16.8,75,18.1,302,101.1,209,97.2,276,88.8,7,91,7
Western Kentucky,CUSA,68.6,96,70.2,73,16.8,72,17.1,90,106.6,105,105.6,100,101.7,150,100.9,155
Manhattan,MAAC,68.6,97,69.2,108,17.3,136,17.3,112,100.5,224,99.6,224,108.2,279,105.5,265
USC Upstate,BSth,68.6,98,69.4,99,17.1,103,17.3,108,102.2,193,100.9,202,110.3,309,107.8,304
Georgia,SEC,68.6,99,69.8,85,17.4,148,16.8,35,106.7,100,100,218,110.6,318,112.4,349
Xavier,BE,68.6,100,69.2,110,16.7,67,18,276,111.2,37,105.8,97,97.8,82,99.1,101
LSU 6,SEC,68.6,101,70.5,64,16.3,39,17.6,186,107.3,89,102.1,175,88.7,6,89.8,4
Louisiana Tech,CUSA,68.5,102,69.6,93,17.1,104,17.4,127,105.6,123,105.6,99,98.3,85,98.3,86
SIU Edwardsville,OVC,68.5,103,69.7,90,17.3,138,17.1,72,94,326,95.1,307,105.5,233,102.8,208
Southern Utah,BSky,68.5,104,69.7,89,17.3,144,17,53,106.7,99,107.4,54,106.1,249,102.8,209
Delaware St.,MEAC,68.4,105,70.5,66,17.3,146,16.5,12,86.2,356,85.8,356,110.5,314,107.5,292
Purdue Fort Wayne,Horz,68.4,106,68.8,135,17.3,137,17.5,144,98.6,260,102.5,165,104.3,212,100.8,153
SMU,Amer,68.4,107,69.4,97,16.8,76,17.7,210,108.9,70,106,86,96.3,57,96.5,50
UMBC,AE,68.3,108,68.5,158,16.8,73,18,281,103.8,162,106.5,74,109.8,301,106.2,270
Winthrop,BSth,68.3,109,68.8,131,17,97,17.7,193,105.9,113,105.5,103,105,222,102.5,197
Arkansas St.,SB,68.3,110,68.9,128,16.9,86,17.8,218,99.9,238,99.8,220,101,133,99.2,104
Stony Brook,AE,68.2,111,68.4,161,17.2,120,17.7,215,104.1,155,105.5,102,110.9,321,107.4,290
Western Carolina,SC,68.2,112,69,117,17.2,124,17.5,143,99,252,99.7,221,110.3,307,112.3,347
Texas Southern 16,SWAC,68.2,113,69.7,91,17.2,130,17.1,73,97.6,274,98.6,255,98.9,102,94.6,28
Canisius,MAAC,68.2,114,69.3,104,17.1,118,16.7,28,97.4,277,96.3,289,105.2,224,103.9,233
Pacific,WCC,68.2,115,69.3,103,17.3,143,17.4,136,95,314,93.8,329,106,244,105.7,266
Lehigh,Pat,68.1,116,68.2,167,17.7,193,17.3,118,98.1,265,99.6,226,110.2,306,104.7,249
Georgia Tech,ACC,68,117,68.6,149,17.4,152,17.5,151,100.4,225,97,280,99.2,110,102.6,205
BYU,WCC,68,118,69.4,100,17.6,186,16.7,29,110.1,50,106,89,97.2,70,98.4,91
Illinois St.,MVC,68,119,68.6,150,16.5,50,18.4,333,105,137,104.4,122,106.5,251,106.5,273
Tulane,Amer,68,120,69.3,101,17.1,109,17.6,185,108.8,71,104.3,126,101,134,102,183
Saint Joseph's,A10,68,121,68.5,154,17.9,225,17.1,86,100.4,226,97.9,263,99.8,118,100.1,135
West Virginia,B12,68,122,68.5,156,18.2,266,16.8,32,108.3,77,100,219,96.6,63,100.7,146
Oregon,P12,67.9,123,68.4,163,17.2,128,17.8,221,110,52,105.1,108,99.6,115,102.3,192
Saint Louis,A10,67.9,124,68.8,134,17.6,178,17.3,115,109.3,63,107.3,57,97.8,81,98.2,81
UC San Diego,BW,67.9,125,67.9,183,17.5,175,17.9,251,101.6,197,100.2,211,109.6,297,105.4,263
Maryland Eastern Shore,MEAC,67.9,126,69.7,87,17.5,173,16.7,25,89.7,353,89.4,352,102.9,177,98.2,82
Cleveland St.,Horz,67.8,127,68.6,148,16.8,70,18.2,311,103.3,168,106.9,61,105.3,227,101.3,165
Alcorn St.,SWAC,67.8,128,69,123,18.5,287,16.6,19,97.3,279,95.9,298,105.4,231,102.5,201
Florida St.,ACC,67.8,129,68.6,142,16.9,85,18,275,105.3,130,102.7,163,99.1,106,104.3,242
Vanderbilt,SEC,67.8,130,68.9,124,18.1,253,16.7,23,107.2,90,101.9,179,94.9,40,97.8,72
Louisiana Monroe,SB,67.7,131,69.1,114,17.4,158,17.2,104,101,212,99,242,109.4,292,107.8,302
Miami OH,MAC,67.7,132,68.9,127,17.6,180,17.1,66,103.5,164,106,90,111.7,333,109.4,321
North Florida,ASun,67.7,133,68.5,155,17.4,149,17.5,159,97.2,280,94.5,316,105.8,241,106.8,278
Miami FL 10,ACC,67.7,134,67.9,185,17.4,151,17.9,262,113.9,19,108.6,42,99.1,107,103.5,223
North Alabama,ASun,67.7,135,69.4,98,17.2,119,17.1,85,90.2,351,91.3,346,103.8,202,103,211
Bucknell,Pat,67.7,136,68.2,169,17.5,168,17.6,169,99.9,237,101.8,183,117,356,113.8,352
Northwestern,B10,67.7,137,68.7,138,17.1,111,17.7,192,106.6,101,103.7,138,97.2,73,101.2,163
East Carolina,Amer,67.7,138,68.8,133,17.4,150,17.2,95,102.7,183,99,241,103.5,191,102.4,194
Fordham,A10,67.6,139,68.6,141,18.1,260,16.6,17,94.7,321,94.8,309,95.1,41,95.6,35
Penn,Ivy,67.6,140,69,116,17.9,221,16.8,36,106.2,111,103.7,137,109.5,295,108.7,314
North Carolina Central,MEAC,67.6,141,70.4,67,16.8,77,17.1,78,96.7,289,95.3,303,107,259,100.8,150
Oklahoma St.,B12,67.6,142,68.9,129,16.6,58,18.1,294,103.8,161,96.5,286,88.2,4,92.9,13
Cincinnati,Amer,67.6,143,68.5,151,17.1,101,17.9,256,104.6,145,101,201,97.3,75,96.7,54
Syracuse,ACC,67.6,144,68.4,159,16.9,84,18,277,115.4,15,110.8,24,104,207,107.8,303
Ohio,MAC,67.6,145,69,122,17.1,116,17.6,175,104.2,151,106.6,70,101.1,137,98.3,84
Tennessee St.,OVC,67.5,146,69.1,113,17.8,217,16.9,48,98,267,99.2,237,106.6,254,101.8,176
Michigan St. 7,B10,67.5,147,67.9,187,17,94,18.3,320,111.9,31,106.5,73,97.1,67,102.1,185
Rice,CUSA,67.5,148,68.1,170,17.5,172,17.6,170,105.6,125,104.1,129,109.7,299,107.5,295
Central Michigan,MAC,67.5,149,68.8,132,17.4,159,17.3,114,96.2,299,95.6,302,110,304,111,337
Kentucky 2,SEC,67.5,150,69.3,105,16.9,89,17.7,206,120,5,114.1,9,94.3,36,95.9,41
UMass Lowell,AE,67.5,151,67.6,203,17.2,134,18.3,319,96.2,300,99.2,236,102.9,175,99.6,117
Florida Atlantic,CUSA,67.5,152,68.6,143,17.6,181,17.2,93,105.4,129,106.8,65,101.9,154,100.1,136
Montana St. 14,BSky,67.5,153,68.9,126,18,238,17,59,104.3,150,107.7,51,101.4,143,99.7,123
UCF,Amer,67.4,154,68.1,174,16.6,55,18.4,331,106.6,104,102.1,174,100.3,126,99.7,121
Gardner Webb,BSth,67.4,155,68.3,165,17.2,125,17.8,227,96.6,293,98.7,250,96.4,58,95.3,33
Cal Baptist,WAC,67.4,156,68.7,137,17,95,17.8,244,98.8,256,99.5,227,103.2,186,99.9,125
Tennessee 3,SEC,67.4,157,68.7,140,17.5,167,17.3,106,111.5,35,106.5,72,86.4,3,90.8,6
Oakland,Horz,67.4,158,68.7,139,18,246,16.9,41,102.9,175,105,111,104.2,211,101.3,166
North Carolina A&T,BSth,67.4,159,67.7,197,17.8,210,17.6,173,96.8,288,96.4,287,107.6,273,104.3,245
Colorado,P12,67.4,160,68.4,160,17.1,113,18,274,106.5,108,103,157,95.9,48,97.7,70
Sacred Heart,NEC,67.4,161,68.6,146,17.5,163,17.2,102,101.3,204,103.3,145,115.5,352,110.2,329
UMKC,Sum,67.4,162,68.5,152,17.4,156,17.5,160,100,235,103.3,147,103.5,193,103.4,220
Baylor 1,B12,67.4,163,68.6,144,17.1,108,17.7,203,118,8,111.6,20,91,13,92.7,11
North Dakota,Sum,67.4,164,69.1,115,17.8,207,16.9,43,96.6,294,99.2,235,116.5,354,115.6,356
Brown,Ivy,67.3,165,69.1,112,16.9,88,17.4,137,100.3,230,100.1,217,103,182,102.2,186
St. Francis PA,NEC,67.3,166,68.3,164,18,244,16.8,39,95.1,312,97.5,270,109.7,298,107.7,299
Seton Hall 8,BE,67.3,167,68.5,153,17,98,17.8,248,107.1,91,102.4,168,93.5,31,96.7,55
Arizona St.,P12,67.3,168,68,175,17.5,169,17.6,191,101.2,207,94.5,314,93.2,27,97.3,65
Georgia St. 16,SB,67.3,169,68.1,173,17.1,107,18.3,321,101.5,202,99.5,230,99.9,119,98.7,97
Northern Iowa,MVC,67.3,170,67.6,202,17.4,160,17.9,271,110.6,43,107,60,102.2,162,103.5,224
Rhode Island,A10,67.3,171,68,179,17.2,132,17.9,261,99.3,249,98.7,252,96,51,96.3,46
Duke 2,ACC,67.3,172,68.1,171,17.6,179,17.6,171,121.1,1,117.2,5,95.9,49,99.4,111
La Salle,A10,67.2,173,68.2,168,17.6,185,17.5,141,98.9,254,97.6,268,103.6,195,103.4,219
Hartford,AE,67.2,174,67.1,238,18.8,309,16.8,34,101.1,210,103.8,136,111.2,324,107.1,284
Indiana 12,B10,67.2,175,67.8,191,17.5,176,17.9,267,107,95,103.2,149,92.9,24,96.4,48
Bradley,MVC,67.2,176,67.7,199,16.8,78,18.6,345,104.8,141,103.1,154,96.8,64,95.8,39
Colgate 14,Pat,67.2,177,67.5,207,17.7,201,17.6,166,108.2,78,110.7,25,103.8,201,99.6,118
Creighton 9,BE,67.2,178,68.1,172,17.9,223,17.3,116,105.9,112,100.2,213,92.2,19,96.5,49
Illinois 4,B10,67.2,179,67.9,182,18.1,258,17.3,117,112,30,108.7,35,93.3,29,98.1,78
Harvard,Ivy,67.2,180,68.9,130,17.2,121,17.4,138,97.8,270,99.3,234,102.4,164,100,127
Missouri St.,MVC,67.1,181,67.8,194,17.9,220,17.5,146,113.2,23,112.3,17,101.7,151,101.6,170
Binghamton,AE,67.1,182,67.2,229,17.8,208,17.7,212,94.9,316,97.1,278,105.6,236,103.7,230
UC Davis,BW,67.1,183,67.9,186,17.5,177,17.7,205,97.9,268,99.5,231,102.1,161,98.3,83
Holy Cross,Pat,67.1,184,67,241,17.5,166,18.4,330,91.2,348,94.1,323,111.3,327,107.7,300
Arkansas Pine Bluff,SWAC,67.1,185,68.9,125,17.2,126,17.4,129,97.8,269,93.8,326,119.3,358,114.6,354
Middle Tennessee,CUSA,67.1,186,67.9,180,17.7,202,17.4,140,106.6,103,106.3,80,98.4,88,97.4,68
Southern Miss,CUSA,67.1,187,67.6,200,17.4,161,17.9,260,94,327,92.1,341,111.8,334,111.5,342
Louisville,ACC,67,188,67.5,206,16.7,66,18.6,344,103,173,98.8,248,99.4,114,103.3,217
Northern Illinois,MAC,67,189,68.6,147,17.4,154,17.4,134,92.8,337,93,333,104.1,209,103.6,228
Troy,SB,67,190,67.6,201,17.7,197,17.8,226,98.7,258,98,260,100.3,124,97.8,71
Coastal Carolina,SB,67,191,67.1,233,17.2,123,18.3,327,102.6,186,102.2,172,101.3,142,98.1,79
N.C. State,ACC,66.9,192,67.9,188,17.2,133,17.9,254,109.6,59,105.8,93,106,246,109.3,319
Wichita St.,Amer,66.9,193,67.8,189,18,239,17.3,109,104,159,99.7,223,95.9,47,96.6,52
Rider,MAAC,66.9,194,68.3,166,18,234,17,56,99.2,251,97.9,261,103.6,194,101,159
Princeton,Ivy,66.9,195,68.7,136,17.4,162,17.3,121,112.3,29,113.2,12,106.3,250,103.3,216
Milwaukee,Horz,66.8,196,67.8,193,17.3,135,18.1,288,91.7,346,95.2,304,108.8,283,105.1,256
Richmond 12,A10,66.8,197,67.4,218,17.7,203,18.2,307,108.1,79,104.7,119,98.7,94,100.8,151
Norfolk St. 16,MEAC,66.8,198,70.2,77,17.3,142,17,54,102.1,195,102.9,158,102.6,167,95.3,32
UNC Asheville,BSth,66.8,199,67.9,181,17.7,200,17.5,142,102.3,190,103.3,148,105.3,226,102.4,193
Utah St.,MWC,66.8,200,67.3,223,17.1,106,18.4,338,109.8,55,106.5,71,97.1,68,97.9,74
FIU,CUSA,66.7,201,68,176,17.2,122,17.8,235,97.3,278,98.9,246,106.1,248,103.6,226
Texas A&M,SEC,66.7,202,68.5,157,17.1,114,17.6,190,109.1,66,104,133,93.4,30,96,42
Michigan 11,B10,66.7,203,67.5,212,17.6,182,17.9,269,113.9,21,107.5,53,97.2,74,103.1,212
Delaware 15,CAA,66.7,204,67.6,204,17.9,228,17.6,182,107,94,106.9,62,104.3,213,103.6,229
Little Rock,SB,66.7,205,66.8,256,18.1,249,17.6,180,96.9,286,94.1,324,112.1,336,111.1,338
Robert Morris,Horz,66.7,206,67.5,205,18.1,250,17.2,101,98.4,261,100.7,204,113.6,345,110.7,334
Youngstown St.,Horz,66.6,207,67.1,239,17.9,226,17.8,233,102.8,177,106.4,75,110.3,310,105.1,254
St. Francis NY,NEC,66.6,208,67.7,196,18.3,268,17.1,69,94.7,320,96.5,284,108.9,287,104.3,247
UTEP,CUSA,66.6,209,67.4,214,17.7,198,17.7,216,100.7,219,100.4,208,100.5,127,99.3,108
Oregon St.,P12,66.6,210,67.8,190,17.6,183,17.9,253,105.4,127,98.9,244,110.8,320,113.8,353
Maryland,B10,66.6,211,67.4,213,18.1,247,17.5,147,109.4,61,104.4,124,99.3,112,104.2,240
Alabama A&M,SWAC,66.6,212,68.4,162,17.8,212,17.3,123,87.3,355,88.7,354,100.8,130,96.2,45
Kansas St.,B12,66.6,213,67.5,208,17.6,184,17.9,264,109.6,57,101.6,185,97,66,99.3,110
Tulsa,Amer,66.5,214,67.3,221,17.3,141,18.2,312,103.6,163,100.1,214,103.9,206,103.9,232
Wisconsin 3,B10,66.5,215,67,242,18,235,17.8,229,109.3,62,104.3,125,94,34,98.3,85
High Point,BSth,66.5,216,67.1,237,18.7,301,16.8,38,98.4,262,98.1,258,104.5,215,102.8,206
Wagner,NEC,66.5,217,68,177,17.2,131,17.7,207,101.9,196,105.8,96,100.3,123,94.2,25
Texas Tech 3,B12,66.5,218,67.3,220,17.8,209,17.8,243,110.7,42,105.8,94,85,1,89.1,2
South Alabama,SB,66.5,219,66.9,246,17.5,164,18.3,322,102.8,179,103.1,151,101.6,149,97.5,69
Drexel,CAA,66.4,220,67.8,192,18.1,259,17.3,122,104.5,147,105.1,109,102.9,176,102.5,199
North Dakota St.,Sum,66.4,221,68,178,18.3,267,17.1,76,102.9,174,106,88,101.4,144,101.6,169
Denver,Sum,66.4,222,67.9,184,18.4,280,17,65,99.8,242,102.8,160,110.9,322,108.9,316
Temple,Amer,66.3,223,67.1,235,17.7,195,18,284,102.1,194,98.6,253,97.7,78,98.4,90
Washington St.,P12,66.3,224,67.4,215,18.4,276,17.3,111,107.7,82,105.4,104,93.3,28,95.6,36
Siena,MAAC,66.3,225,67.2,227,18,236,17.7,208,98.1,266,97.4,272,103.9,205,102,179
Iowa St. 11,B12,66.3,226,67.2,225,17.8,213,17.7,209,103.1,171,96.9,282,88.5,5,92.2,8
Clemson,ACC,66.3,227,66.7,259,17.7,199,18.1,300,110.1,49,106.8,64,98.8,101,102,182
Drake,MVC,66.2,228,66,281,18.1,251,18.2,305,108.8,73,108.6,41,99.3,113,99.2,103
Maine,AE,66.2,229,66.2,276,18,240,18,283,92.2,342,91.9,343,114.3,349,111.3,340
UNLV,MWC,66.2,230,66.6,264,18,237,17.8,234,107.5,87,103.6,141,98.7,97,99.5,113
USC 7,P12,66.2,231,67.5,209,17.4,153,18,287,109.8,54,106.3,81,95.6,45,97,61
Kennesaw St.,ASun,66.2,232,67.3,222,17.8,219,17.8,222,104.7,144,104.8,118,109,288,107.5,293
Marist,MAAC,66.2,233,66.9,247,17.6,190,18.2,310,100.8,215,101.4,191,103.7,200,100.6,144
Monmouth,MAAC,66.2,234,67.1,236,17.2,129,18.4,337,102.6,188,101.3,195,101.4,145,99.6,116
Utah,P12,66.2,235,67.2,231,17.5,170,18,279,107.3,88,103.1,153,103.5,189,104.4,248
Longwood 14,BSth,66.1,236,67.2,232,17.7,194,18.2,317,105.9,114,108.1,45,103.7,199,99.2,105
